idPublic,type
2,Ministère fédéral canadien
4,Ministère fédéral canadien
5,Ministère fédéral canadien
6,Ministère fédéral canadien
7,Ministère fédéral canadien
8,Ministère fédéral canadien
9,Ministère fédéral canadien
10,Ministère fédéral canadien
11,Ministère fédéral canadien
12,Agence
14,Ministère fédéral canadien
17,Ministère fédéral canadien
18,Ministère fédéral canadien
23,Ministère fédéral canadien
26,Agence
28,Ministère fédéral canadien
29,Agence
30,Agence
32,Ministère fédéral canadien
33,Parlement du Canada
34,Parlement du Canada
35,Ministère fédéral canadien
36,Agence
41,Ministère fédéral canadien
42,Agence
43,Agence
46,Ministère fédéral canadien
48,Ministère fédéral canadien
51,Ministère fédéral canadien
52,Ministère fédéral canadien
61,Parlement du Canada
65,Ministère fédéral canadien
66,Ministère fédéral canadien
68,Ministère fédéral canadien
69,Agence
72,Ministère fédéral canadien
74,Ministère fédéral canadien
83,Ministère fédéral canadien
84,Ministère fédéral canadien
96,Ministère fédéral canadien
97,Ministère fédéral canadien
98,Agence
99,Agence
111,Ministère fédéral canadien
116,Ministère fédéral canadien
119,Ministère fédéral canadien
130,Agence
138,Ministère fédéral canadien
144,Ministère fédéral canadien
146,Agence
159,Agence
175,Ministère fédéral canadien
200,Ministère fédéral canadien
216,Ministère fédéral canadien
241,Agence
285,Agence
286,Société d’État
299,Ministère fédéral canadien
305,Société d’État
306,Société d’État
364,Agence
382,Agence
383,Agence
404,Agence
406,Agence
